"CODE","REASON_FOR_STOP"
1,"Traffic Violation"
2,"Reasonable suspicion"
3,"Parole/probation/PRCS/mandatory supervision"
5,"Investigation to determine whether person was truant"
4,"Knowledge of outstanding arrest warrant/wanted person"
6,"Consensual encounter resulting in search"
8,"Determine whether student violated school policy"
7,"Possible conduct under Education Code"
