"CODE","RACE_ETHNICITY"
1,"Asian"
2,"Black/African American"
3,"Hispanic/Latino"
4,"Middle Eastern/South Asian"
5,"Native American"
6,"Pacific Islander"
7,"White"
8,"Multiracial"
